Area_Name,Latitude,Longitude,prox_bhramaputra,prox_diporbil,prox_bharalu,prox_kopili,prox_hft,prox_epicenter,prox_sp
Ajanta Path,26.129347,91.791171,0.6978593596209679,10.99978308325392,4.233070041304192,40.049442410643366,77.91873289690783,84.2356758750962,1.9973944673159434
Ananda Nagar,26.159288,91.774761,0.0,9.588381222947795,0.7395574571130992,41.67697598831083,74.58944559824307,82.93720263203608,5.3266817659807
Ashok Path,26.130846,91.792707,0.5311781645809415,11.152980410800856,4.119682669482712,39.89559009180036,77.7520517018678,84.00919838396463,2.1640756623559696
Azara,26.135019,91.621035,0.06716173569291772,0.0,11.509158664723612,57.0314965416552,77.28803527297978,96.0413248101787,12.300822151509744
Baghorbori Tiniali,26.133619,91.824396,0.22283463299546002,14.316145361325708,5.746401078333018,36.73121613270261,77.44370817028232,81.68599306263958,2.4724191939414513
Bamunimaidan,26.183036,91.791504,0.0,11.997958408838027,2.1284741912369176,39.997787590877095,71.94878848028807,79.88551290635611,7.967338883935698
Basistha Chariali,26.109047,91.797523,2.9551163705053556,11.635930989491076,6.57769982508967,39.42216414339181,80.17598990779221,85.50710079112186,0.0
Beharbari Chariali,26.112924,91.772648,2.524013639904468,9.151899082936358,5.894999036061356,41.90449986515347,79.74488717719133,86.83066176358078,0.17124018703244287
Beltola,26.12064,91.800803,1.6660335859149187,11.96224708273934,5.468528583636251,39.0907842575558,78.88690712320178,84.31947275066987,1.0292202410219926
Beltola Tiniali,26.126265,91.804408,1.0405621235396683,12.321571530887594,5.065226818998999,38.729002270302466,78.26143566082652,83.61194521998857,1.6546917033972428
Bhangagarh,26.165104,91.767712,0.0,9.075615644703479,0.09284776374857989,42.37839032576512,73.94273590487855,82.97468153550263,5.973391459345219
Bharalumukh,26.17629,91.732601,0.0,6.50441604146744,1.0074260353997782,45.87807733294048,72.69890945543209,84.64855583141325,7.270464407224189
Bhetapara,26.115736,91.788872,2.2113335061803854,10.771526283281284,5.660613067669749,40.28364623553798,79.43220704346724,85.51618138780275,0.4839203207565259
Bhetapara - Ghoramara Road,26.120259,91.783319,1.708398852966726,10.216704543159802,5.093871549313535,40.83649135607457,78.92927239025359,85.51102011034261,0.9868549739701852
Bhubaneswar Barua Road,26.166064,91.746782,0.0,7.152500998908302,0.0,44.466844974935256,73.83598877529961,84.3948159436195,6.0801385889241555
Bishnu Rabha Path,26.120892,91.774113,1.6380124644007439,9.297538182781654,5.008997860557631,41.75538005281345,78.85888600168761,86.07763869262385,1.0572413625361672
Borbari,26.153639,91.816142,0.0,13.568583816569276,3.906963720432834,37.5487501307734,75.21758573885845,80.56035163028379,4.698541625365331
Borjhar,26.153639,91.816142,0.0,13.568583816569276,3.906963720432834,37.5487501307734,75.21758573885845,80.56035163028379,4.698541625365331
Chandmari,26.13921,91.588774,0.0,2.6333204373781065,14.511063390438016,60.2498185275511,76.82201733541272,98.23242038369708,15.548312924929297
Chatribari,26.199666,91.778443,0.0,11.737183841882567,3.6067186406428364,41.29518333807968,70.09961685018902,79.53024110795171,9.816510514034741
Chenikuthi,26.174101,91.74466,0.0,7.367687230100054,0.7640203409747252,44.67553982569908,72.94231514985714,83.93296305577282,6.97381221436663
